id,severity,surface,status,description,disposition
O011-ADV-0001,P1,authority,admitted_limitation,Top-level course pages do not freeze transcluded mathematics,Use recursive current-revision Special:Export and revision manifest
O011-ADV-0002,P2,pdf,admitted_limitation,Official Commons category has only Lecture 4 PDF; 57 expected lecture/worksheet PDFs are absent,Do not claim a complete official PDF set; rebuild locally
O011-ADV-0003,P2,latex,admitted_limitation,Official expanded LaTeX is body-only and contains HTML break artifacts,Sanitize deterministically and use a versioned portable compatibility layer
O011-ADV-0004,P2,layout,admitted_limitation,Official Electron Lecture 1 render contains edit URLs/navigation and a nearly blank last page,Retain as witness only; do not use as production master
O011-ADV-0005,P1,rights,open,Media files have heterogeneous per-file licenses,Require exact media rights manifest before admitting each asset
O011-ADV-0006,P2,coverage,planned_bridge,Brenner lacks explicit de Rham cohomology and a coherent Lie-group unit,Author a bounded original bridge after the spine
O011-CORR-0001,P1,lecture01:circle-acceleration,corrected_in_target,Source labels the radial -(f')^2 term tangential and uses nonconstancy of f as the condition for tangential acceleration,Target identifies the f'' term as tangential and the radial term as normal; tangential acceleration requires nonzero second derivative
O011-CORR-0002,P1,lecture01:tangential-acceleration,corrected_in_target,Source defines the second tangential derivative using fixed undefined P while gamma varies with t,Target uses pi_{gamma(t)} with codomain T_{gamma(t)}Y; exact protected deltas are hash-bound in PROTECTED_CORRECTIONS.json
O011-ADV-0009,P2,lecture01:vector-field-proof,preserved_with_reader_caveat,The proof invokes Picard-Lindelof for G although h is only C1 so grad h and hence G need not be locally Lipschitz,Keep the source argument but add an explicit edition note identifying the missing regularity or coordinate-proof step; do not silently strengthen the theorem
O011-CORR-0003,P1,lecture01:3d-function-6-rights,corrected_in_target,Source figure macro says CC BY-SA 3.0 but the frozen current Commons metadata identifies CC BY 3.0 with GFDL as an alternative,Use the exact per-file manifest and label the target figure CC BY 3.0
O011-CORR-0004,P1,worksheet01:exercise19,corrected_in_target,The final problem declares h and g then defines Z=h^{-1}(d) while immediately assuming g is regular on Z so g is otherwise unused,Target defines Z=g^{-1}(d); the exact one-token protected delta is hash-bound in WORKSHEET01_PROTECTED_CORRECTIONS.json
O011-ADV-0010,P2,lecture01:vector-field-proof,preserved_with_reader_caveat,The alternative proof says a vector field and ODE can be transported through a homeomorphism although differentiable coordinates and sufficient local-Lipschitz regularity are required,Target makes the argument conditional on additional regularity and a local diffeomorphism and states that it is incomplete otherwise
O011-CORR-0005,P2,worksheet01:spherical-triangle,corrected_in_target,The source claims angle sum greater than pi from pairwise non-antipodality alone and therefore includes degenerate collinear triples and unspecified major arcs,Target requires three distinct non-collinear points and the shorter great-circle arc for each pair
O011-CORR-0006,P2,lecture01:internal-cross-reference,corrected_in_target,The source display label Catatan 1.3 does not match the standalone reader numbering,Target displays Catatan 1.1.3 which is the actual numbered item in this reader
O011-CORR-0007,P1,unit01:media-attribution,corrected_in_reader,The immediate source macros omit derivative-source contributors Episcophagus and AMK1211 and expose no Commons or license URLs,Generated attribution names all direct and underlying contributors and provides clickable exact source and license links
O011-CORR-0008,P2,unit01:math-operator-localization,corrected_in_reader,Source formulas render German operators kern and bild,Portable preparation maps them deterministically to international ker and im while preserving mathematical meaning
O011-ADV-0011,P2,unit01:pdf-accessibility,admitted_limitation,The reproducible pdfTeX reader has id-ID language metadata and ToUnicode fonts but no structure tree or PDF tags,Do not claim full PDF accessibility; preserve extractable text and source and make the planned HTML reader the primary accessibility surface
O011-CORR-0009,P3,lecture01:display-punctuation,corrected_in_target,Four display full stops sat outside the Brenner punctuation arguments and rendered as detached lines in the standalone reader,Move each full stop into the existing final punctuation argument without changing the displayed mathematics
O011-CORR-0010,P3,lecture01:regularity-notation,corrected_in_target,The edition caveat described the regularity only in prose and obscured the exact differentiability class,Use the compact typographic notation C¹ while preserving the same mathematical caveat
O011-CORR-0011,P3,lecture01:idiom-polish,corrected_in_target,Two understandable literal compounds remained awkward in Indonesian reader prose,Use parametrisasi geraknya and penskalaan parameter waktunya secara afin without changing the mathematical claim
