id,source_de,target_id,status,note
O011-TERM-U03-W001,Krümmung,kelengkungan,proposed,"Signed curvature in the planar-curve context"
O011-TERM-U03-W002,Drehung,rotasi,proposed,"Orientation-preserving Euclidean rotation"
O011-TERM-U03-W003,Krümmungskreis,lingkaran kelengkungan,proposed,"Osculating circle; keep distinct from curvature radius"
O011-TERM-U03-W004,Kreisbewegung,gerak melingkar,proposed,"Circular motion"
O011-TERM-U03-W005,uniforme Kreisbewegung,gerak melingkar beraturan,proposed,"Uniform circular motion"
O011-TERM-U03-W006,Geschwindigkeitsnorm,norma kecepatan,proposed,"Norm of the velocity vector"
O011-TERM-U03-W007,Beschleunigung,percepatan,proposed,"Acceleration"
O011-TERM-U03-W008,Klothoide,klotoid,proposed,"Clothoid or Euler spiral"
O011-TERM-U03-W009,logarithmische Spirale,spiral logaritmik,proposed,"Logarithmic spiral"
O011-TERM-U03-W010,archimedische Spirale,spiral Archimedes,proposed,"Archimedean spiral"
O011-TERM-U03-W011,analytisch,analitik,proposed,"Analytic function or curve"
O011-TERM-U03-W012,Potenzreihe,deret pangkat,proposed,"Power series"
O011-TERM-U03-W013,Evolute,evolut,proposed,"Locus of centers of curvature"
O011-TERM-U03-W014,Gradientenfeld,medan gradien,proposed,"Gradient vector field"
O011-TERM-U03-W015,totales Differential,diferensial total,proposed,"Total differential"
O011-TERM-U03-W016,tangentialer Vektor,vektor tangen,proposed,"Tangent vector"
O011-TERM-U03-W017,regulär,reguler,proposed,"Regular map or regular point as context determines"
O011-TERM-U03-W018,Tangente,garis tangen,proposed,"Tangent line"
