schema,schema_version,id,entity_type,source_local_id,parent_id,order,path,resource_id,edition_id,source_locator,source_sha256,target_sha256,language,locale,translation_state,rights_component_id,status,timestamp,workflow,supersedes
o011-modular-backend,1,o011-adv-0001,correction,authority,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0002,correction,pdf,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0003,correction,latex,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0004,correction,layout,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0005,correction,rights,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0006,correction,coverage,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0009,correction,lecture01:vector-field-proof,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0010,correction,lecture01:vector-field-proof,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-adv-0011,correction,unit01:pdf-accessibility,,,,,,,,,,,,,active,2026-08-21T17:24:54Z,o011-export-backend-v1,
o011-modular-backend,1,o011-artifact-through-unit02-pdf,artifact,,o011-brenner-u02,,output/pdf/geometri-diferensial-manifold-mulus-hingga-unit-02-id.pdf,,,,,6312b4df706d0f08eeb9f37da0abda3428b5448dce54781d0f52eb9c8db5c385,Indonesian,id-ID,visually_checked,,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-l02-tex,artifact,,o011-brenner-u02-l02,,source/units/unit-02/lecture02.id.tex,,,,f488d809e7d9490c40099d90c2abed2cc8bea39f11923a8d525e6302f3be470a,3dec5f7c1ec47b2ea965481f78db8334ab4046b001c53dd58bde0b9d0bb4cc49,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-e001-solution-tex,artifact,,o011-brenner-u02-w02-e001-solution,,source/units/unit-02/worksheet02_exercise01_solution.id.tex,,,,6dcc38f066a8350fdba67145857c168e1b6ca532c07af0a8f34ee2b954ad9432,bf0788c3f5cc77324bca5dfc1a899b5410fa5a8312da7594b85993c9245a45fe,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-e002-solution-tex,artifact,,o011-brenner-u02-w02-e002-solution,,source/units/unit-02/worksheet02_exercise02_solution.id.tex,,,,a92e556f50d2216192fc61703eea4bae3d233ab632c8eedb19bd35dec2ed89b0,66ac0a6b86de21eee86a898fe7122644c932c4dff44bbc51845967a86b73e2fc,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-e007-solution-tex,artifact,,o011-brenner-u02-w02-e007-solution,,source/units/unit-02/worksheet02_exercise07_solution.id.tex,,,,90d9007e6a313dcbc4614045f0831b826f7a9af82897e17a36fbce08088ef92b,405e59e8569d9ba8d8dd35ebe6b2ce693cb931d8ed42824d790baeba31fdd8d3,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-e012-solution-tex,artifact,,o011-brenner-u02-w02-e012-solution,,source/units/unit-02/worksheet02_exercise12_solution.id.tex,,,,3191adb6fbfaf1be11c0e7a061468a4fd6fe9235cd0dea40771ec97bd10f970f,1c04a8fd29888aa47633cffceb25104c6533e6c2b9e512ad663fd3742c581832,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-e013-solution-tex,artifact,,o011-brenner-u02-w02-e013-solution,,source/units/unit-02/worksheet02_exercise13_solution.id.tex,,,,6896eb6a4a6f4c25bcfaab674847dcd78bc079cfd6c58b3b8542c5c220d85e7b,a4a230b45de82885027722450d3a7f12fc63fe06187abab481788f7b37352ac0,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
o011-modular-backend,1,o011-artifact-u02-w02-tex,artifact,,o011-brenner-u02-w02,,source/units/unit-02/worksheet02.id.tex,,,,c645aacb16233d832b492315379b0251c33fa52db6b2e7ac24be4ecc9600d3ad,677d9b244a2c30561f497e602e29081ca12f668d5a5ec3d116900c49a5bd5954,Indonesian,id-ID,structurally_verified,o011-rights-brenner-text,active,2026-08-22T04:29:34Z,o011-export-backend-v2,
