id,source_de,target_id,status,note
O011-TERM-U02-0001,Rotationsfläche,permukaan putar,proposed,Surface generated by rotating a plane curve
O011-TERM-U02-0002,Jacobimatrix,matriks Jacobi,proposed,Standard Indonesian mathematical usage
O011-TERM-U02-0003,Einheitsnormalenfeld,medan normal satuan,proposed,Unit-length normal vector field
O011-TERM-U02-0004,Einheitsnormalenvektor,vektor normal satuan,proposed,Unit-length normal vector
O011-TERM-U02-0005,Orientierung,orientasi,proposed,Orientation of a hypersurface
O011-TERM-U02-0006,Gauß-Abbildung,pemetaan Gauss,proposed,Gauss map; ASCII spelling in Indonesian prose
O011-TERM-U02-0007,einschaliges Hyperboloid,hiperboloid satu lembar,proposed,One-sheeted hyperboloid
O011-TERM-U02-0008,antipodale Abbildung,pemetaan antipodal,proposed,Antipodal map on the sphere
O011-TERM-U02-0009,Hyperebene,hiperbidang,proposed,Codimension-one affine or vector subspace as context determines
O011-TERM-U02-0010,Bogenparametrisierung,parametrisasi panjang busur,proposed,Arc-length parameterization
O011-TERM-U02-0011,zusammenhängend,terhubung,proposed,Topological connectedness
O011-TERM-U02-0012,affin-linearer Unterraum,subruang afin-linear,proposed,Affine subspace; avoid the contradictory phrase subruang vektor afin
O011-TERM-U02-0013,gemeinfrei,domain publik,proposed,Reader-facing media-rights label
