id,source_de,target_id,status,note
O011-TERM-U02-W001,differenzierbare Kurve,kurva terdiferensialkan,proposed,"Differentiable curve; use terdiferensialkan consistently rather than dapat didiferensialkan"
O011-TERM-U02-W002,Ableitung,turunan,proposed,"Derivative"
O011-TERM-U02-W003,euklidischer Vektorraum,ruang vektor Euklides,proposed,"Euclidean vector space"
O011-TERM-U02-W004,bogenparametrisiert,berparametrisasi panjang busur,aligned_with_unit02_lecture,"Adjectival form aligned with parametrisasi panjang busur in Lecture 2"
O011-TERM-U02-W005,tangential äquivalent,ekuivalen secara tangensial,proposed,"Tangentially equivalent"
O011-TERM-U02-W006,Äquivalenzrelation,relasi ekuivalensi,proposed,"Equivalence relation"
O011-TERM-U02-W007,Äquivalenzklasse,kelas ekuivalensi,proposed,"Equivalence class"
O011-TERM-U02-W008,Quotientenmenge,himpunan hasil bagi,proposed,"Quotient set"
O011-TERM-U02-W009,differenzierbare Hyperfläche,hipermuka terdiferensialkan,proposed,"Differentiable hypersurface"
O011-TERM-U02-W010,zusammenhängend,terhubung,aligned_with_unit02_lecture,"Topological connectedness"
O011-TERM-U02-W011,Graph,grafik,aligned_with_unit02_lecture,"Graph of a function"
O011-TERM-U02-W012,Einheitsnormalenfeld,medan normal satuan,aligned_with_unit02_lecture,"Unit normal vector field"
O011-TERM-U02-W013,Normalenfeld,medan normal,aligned_with_unit02_lecture,"Normal vector field"
O011-TERM-U02-W014,Rotationsfläche,permukaan putar,aligned_with_unit02_lecture,"Surface of revolution"
O011-TERM-U02-W015,Gauß-Abbildung,pemetaan Gauss,aligned_with_unit02_lecture,"Gauss map; ASCII spelling in Indonesian prose"
O011-TERM-U02-W016,Hyperebene,hiperbidang,aligned_with_unit02_lecture,"Hyperplane"
O011-TERM-U02-W017,Antipodenabbildung,pemetaan antipodal,aligned_with_unit02_lecture,"Antipodal map"
O011-TERM-U02-W018,Umkehrabbildung / Umkehrfunktion,pemetaan invers,proposed,"Inverse map or inverse function in the present mapping context"
O011-TERM-U02-W019,lineare Isometrie,isometri linear,proposed,"Linear isometry"
O011-TERM-U02-W020,lineare Isomorphie,isomorfisme linear,proposed,"Linear isomorphism"
O011-TERM-U02-W021,Faser,serat,aligned_with_unit02_lecture,"Fiber of a map"
O011-TERM-U02-W022,Nullstellenmenge,himpunan nol,aligned_with_unit02_lecture,"Zero set"
O011-TERM-U02-W023,Streckung,dilatasi,proposed,"Dilation or scalar homothety in the stated Euclidean-space context"
O011-TERM-U02-W024,Bild,citra,proposed,"Image of a set under a map"
